Kabupaten/Kota;AHH;HLS;RLS;Pengeluaran per Kapita Riil (Rp);IPM;Tahun
Kabupaten Lumajang;69.07;11.12;6.03;7894.95;62.33;2014
Kabupaten Jember;67.8;12;5.63;8226.66;62.64;2014
Kabupaten Banyuwangi;69.93;11.81;6.87;10378.84;67.31;2014
Kabupaten Bondowoso;65.43;12.85;5.52;9176.22;63.43;2014
Kabupaten Situbondo;68.08;12.97;5.54;8382.83;63.91;2014
Kabupaten Probolinggo;65.75;11.6;5.64;9876.57;63.04;2014
Kabupaten Pasuruan;69.83;11.78;6.36;8293.33;64.35;2014
Kabupaten Sidoarjo;73.43;13.55;10.09;12632.01;76.78;2014
Kabupaten Mojokerto;71.76;11.97;7.74;11208.45;70.22;2014
Kabupaten Jombang;71.37;12.65;7.52;9708.86;69.07;2014
Kabupaten Nganjuk;70.87;12.65;7.31;10754.14;69.59;2014
Kabupaten Madiun;69.76;12.79;6.89;10667.45;68.6;2014
Kabupaten Magetan;71.91;12.77;7.55;10538.5;70.29;2014
Kabupaten Ngawi;71.33;12.29;6.52;10143.3;67.78;2014
Kabupaten Bojonegoro;70.11;12.08;6.14;8963.65;65.27;2014
Kabupaten Tuban;70.25;11.42;6.18;8906.12;64.58;2014
Kabupaten Lamongan;71.47;13.41;7.27;9544.78;69.42;2014
Kabupaten Gresik;72.2;13.17;8.42;11513.82;72.84;2014
Kabupaten Bangkalan;69.62;11.17;5.07;7458.74;60.71;2014
Kabupaten Sampang;67.48;10.39;3.49;7797.85;56.98;2014
Kabupaten Pamekasan;66.56;13.32;5.72;7477.62;62.66;2014
Kabupaten Sumenep;70.02;12.39;4.77;7143.08;61.43;2014
Kota Kediri;73.52;13.52;9.7;10701.62;74.62;2014
Kota Blitar;72.7;13.51;9.81;11671.59;75.26;2014
Kota Malang;72.3;14.47;9.97;15398.97;78.96;2014
Kota Probolinggo;69.52;13.29;8.44;10181.78;70.49;2014
Kota Pasuruan;70.54;13.53;9.06;11527.41;73.23;2014
Kota Mojokerto;72.39;13.3;9.91;11689.21;75.04;2014
Kota Madiun;72.41;13.64;10.9;14643.42;78.81;2014
Kota Surabaya;73.85;13.44;10.07;15492.16;78.87;2014
Kota Batu;72.06;12.9;8.41;10853.23;71.89;2014
Kabupaten Pacitan;71.05;11.94;6.88;7685.94;64.92;2015
Kabupaten Ponorogo;72.08;13.29;6.96;8654.4;68.16;2015
Kabupaten Trenggalek;72.91;12.08;7.18;8444.7;67.25;2015
Kabupaten Tulungagung;73.28;12.73;7.72;9533.72;70.07;2015
Kabupaten Blitar;72.8;11.98;7.24;9272.39;68.13;2015
Kabupaten Kediri;72.14;12.15;7.41;9883.09;68.91;2015
Kabupaten Malang;71.98;11.98;6.73;8844.68;66.63;2015
Kabupaten Lumajang;69.27;11.61;6.04;7921.21;63.02;2015
Kabupaten Jember;68.2;12.01;5.76;8255.28;63.04;2015
Kabupaten Banyuwangi;70.03;12.2;6.88;10691.79;68.08;2015
Kabupaten Bondowoso;65.73;12.86;5.53;9518.93;63.95;2015
Kabupaten Situbondo;68.28;12.98;5.67;8676.63;64.53;2015
Kabupaten Probolinggo;66.15;12.04;5.66;9976.33;63.83;2015
Kabupaten Pasuruan;69.83;11.8;6.5;8706.84;65.04;2015
Kabupaten Sidoarjo;73.63;13.89;10.1;12878.57;77.43;2015
Kabupaten Mojokerto;71.96;12.18;7.75;11559.5;70.85;2015
Kabupaten Jombang;71.67;12.68;7.59;9963.25;69.59;2015
Kabupaten Nganjuk;70.97;12.68;7.33;10994.82;69.9;2015
Kabupaten Madiun;70.36;13.1;6.99;10710.22;69.39;2015
Kabupaten Magetan;72.01;13.6;7.65;10593.73;71.39;2015
Kabupaten Ngawi;71.53;12.31;6.53;10583.86;68.32;2015
Kabupaten Bojonegoro;70.51;12.09;6.64;8993.21;66.17;2015
Kabupaten Tuban;70.55;12.07;6.2;8940.49;65.52;2015
Kabupaten Lamongan;71.67;13.43;7.28;9821.5;69.84;2015
Kabupaten Gresik;72.3;13.19;8.93;11548.08;73.57;2015
Kabupaten Bangkalan;69.72;11.55;5.08;7667.19;61.49;2015
Kabupaten Sampang;67.58;11.09;3.65;7826.56;58.18;2015
Kabupaten Pamekasan;66.86;13.34;5.73;7678.96;63.1;2015
Kabupaten Sumenep;70.42;12.41;4.89;7577.27;62.38;2015
Kota Kediri;73.62;14.3;9.88;10732.97;75.67;2015
Kota Blitar;73;13.53;9.87;12258.15;76;2015
Kota Malang;72.6;15.23;10.13;15419.88;80.05;2015
Kota Probolinggo;69.72;13.32;8.46;10557.66;71.01;2015
Kota Pasuruan;70.84;13.56;9.07;11962.52;73.78;2015
Kota Mojokerto;72.69;13.33;9.92;12060.5;75.54;2015
Kota Madiun;72.41;14.06;11.08;14723;79.48;2015
Kota Surabaya;73.85;13.52;10.24;15991.04;79.47;2015
Kota Batu;72.16;13.16;8.44;11274.41;72.62;2015
Kabupaten Pacitan;71.18;12.19;6.89;8048;65.74;2016
Kabupaten Ponorogo;72.18;13.69;6.97;8908;68.93;2016
Kabupaten Trenggalek;73.03;12.09;7.19;8829;67.78;2016
Kabupaten Tulungagung;73.4;13.03;7.73;9881;70.82;2016
Kabupaten Blitar;72.89;12.42;7.25;9467;68.88;2016
Kabupaten Kediri;72.2;12.57;7.58;10140;69.87;2016
Kabupaten Malang;72.05;12.28;6.98;9018;67.51;2016
Kabupaten Lumajang;69.38;11.77;6.05;8311;63.74;2016
Kabupaten Jember;68.37;12.31;6.05;8409;64.01;2016
Kabupaten Banyuwangi;70.11;12.55;6.93;11171;69;2016
Kabupaten Bondowoso;65.89;12.87;5.54;10007;64.52;2016
Kabupaten Situbondo;68.41;12.99;5.68;9106;65.08;2016
Kabupaten Probolinggo;66.31;12.05;5.67;10170;64.12;2016
Kabupaten Pasuruan;69.86;11.81;6.58;9198;65.71;2016
Kabupaten Sidoarjo;73.67;14.13;10.22;13320;78.17;2016
Kabupaten Mojokerto;72.03;12.44;7.76;11798;71.38;2016
Kabupaten Jombang;71.77;12.69;7.68;10237;70.03;2016
Kabupaten Nganjuk;71.04;12.82;7.34;11451;70.5;2016
Kabupaten Madiun;70.55;13.11;7;10904;69.67;2016
Kabupaten Magetan;72.09;13.71;7.66;10988;71.94;2016
Kabupaten Ngawi;71.63;12.65;6.54;10810;68.96;2016
Kabupaten Bojonegoro;70.67;12.11;6.65;9420;66.73;2016
Kabupaten Tuban;70.67;12.17;6.25;9353;66.19;2016
Kabupaten Lamongan;71.77;13.44;7.29;10252;70.34;2016
Kabupaten Gresik;72.33;13.69;8.94;11961;74.46;2016
Kabupaten Bangkalan;69.77;11.56;5.13;8030;62.06;2016
Kabupaten Sampang;67.62;11.37;3.79;8096;59.09;2016
Kabupaten Pamekasan;66.95;13.35;6.08;7975;63.98;2016
Kabupaten Sumenep;70.56;12.73;5.08;7846;63.42;2016
Kota Kediri;73.65;14.61;9.89;11070;76.33;2016
Kota Blitar;73.09;14;9.88;12499;76.71;2016
Kota Malang;72.68;15.38;10.14;15732;80.46;2016
Kota Probolinggo;69.79;13.54;8.47;10792;71.5;2016
Kota Pasuruan;70.93;13.57;9.08;12295;74.11;2016
Kota Mojokerto;72.78;13.8;9.93;12449;76.38;2016
Kota Madiun;72.44;14.19;11.09;15300;80.01;2016
Kota Surabaya;73.87;13.99;10.44;16295;80.38;2016
Kota Batu;72.2;13.62;8.45;11772;73.57;2016
Kabupaten Pacitan;71.31;12.41;7.02;8288;66.51;2017
Kabupaten Ponorogo;72.27;13.7;7.01;9107;69.26;2017
Kabupaten Trenggalek;73.15;12.1;7.2;9034;68.1;2017
Kabupaten Tulungagung;73.53;13.04;7.82;10114;71.24;2017
Kabupaten Blitar;72.99;12.43;7.26;9828;69.33;2017
Kabupaten Kediri;72.25;12.86;7.65;10326;70.47;2017
Kabupaten Malang;72.12;12.56;7.17;9356;68.47;2017
Kabupaten Lumajang;69.5;11.78;6.2;8503;64.23;2017
Kabupaten Jember;68.54;12.79;6.06;8698;64.96;2017
Kabupaten Banyuwangi;70.19;12.68;7.11;11438;69.64;2017
Kabupaten Bondowoso;66.04;12.94;5.55;10086;64.75;2017
Kabupaten Situbondo;68.53;13;6.03;9178;65.68;2017
Kabupaten Probolinggo;66.47;12.06;5.68;10239;64.28;2017
Kabupaten Pasuruan;69.9;12.05;6.82;9556;66.69;2017
Kabupaten Sidoarjo;73.71;14.34;10.23;13710;78.7;2017
Kabupaten Mojokerto;72.1;12.52;8.15;12240;72.36;2017
Kabupaten Jombang;71.87;12.7;8.06;10560;70.88;2017
Kabupaten Nganjuk;71.11;12.83;7.38;11560;70.69;2017
Kabupaten Madiun;70.77;13.12;7.3;11012;70.27;2017
Kabupaten Magetan;72.16;13.72;7.94;11288;72.6;2017
Kabupaten Ngawi;71.74;12.67;6.66;10899;69.27;2017
Kabupaten Bojonegoro;70.83;12.34;6.71;9553;67.28;2017
Kabupaten Tuban;70.8;12.18;6.48;9540;66.77;2017
Kabupaten Lamongan;71.87;13.45;7.54;10664;71.11;2017
Kabupaten Gresik;72.36;13.7;8.95;12375;74.84;2017
Kabupaten Bangkalan;69.82;11.57;5.14;8192;62.3;2017
Kabupaten Sampang;67.67;11.38;4.12;8352;59.9;2017
Kabupaten Pamekasan;67.05;13.61;6.25;8311;64.93;2017
Kabupaten Sumenep;70.71;12.74;5.22;8316;64.28;2017
Kota Kediri;73.69;14.95;9.9;11550;77.13;2017
Kota Blitar;73.17;14.01;9.89;12910;77.1;2017
Kota Malang;72.77;15.39;10.15;15939;80.65;2017
Kota Probolinggo;69.86;13.55;8.48;11390;72.09;2017
Kota Pasuruan;71.02;13.58;9.09;12557;74.39;2017
Kota Mojokerto;72.86;13.81;9.98;12804;76.77;2017
Kota Madiun;72.48;14.2;11.1;15415;80.13;2017
Kota Surabaya;73.88;14.41;10.45;16726;81.07;2017
Kota Batu;72.25;14.03;8.46;12057;74.26;2017
Kabupaten Pacitan;71.52;12.61;7.19;8527;67.33;2018
Kabupaten Ponorogo;72.43;13.71;7.17;9426;69.91;2018
Kabupaten Trenggalek;73.35;12.12;7.27;9400;68.71;2018
Kabupaten Tulungagung;73.74;13.05;8.06;10455;71.99;2018
Kabupaten Blitar;73.16;12.44;7.27;10327;69.93;2018
Kabupaten Kediri;72.37;12.87;7.68;10853;71.07;2018
Kabupaten Malang;72.26;12.87;7.18;9844;69.4;2018
Kabupaten Lumajang;69.7;11.79;6.21;8931;64.83;2018
Kabupaten Jember;68.74;13.21;6.07;9090;65.96;2018
Kabupaten Banyuwangi;70.34;12.69;7.12;11828;70.06;2018
Kabupaten Bondowoso;66.27;12.95;5.62;10429;65.27;2018
Kabupaten Situbondo;68.73;13.01;6.11;9692;66.42;2018
Kabupaten Probolinggo;66.71;12.07;5.71;10700;64.85;2018
Kabupaten Pasuruan;70.01;12.3;6.83;9933;67.41;2018
Kabupaten Sidoarjo;73.82;14.75;10.24;14168;79.5;2018
Kabupaten Mojokerto;72.24;12.53;8.18;12454;72.64;2018
Kabupaten Jombang;72.04;12.99;8.21;10999;71.86;2018
Kabupaten Nganjuk;71.25;12.84;7.61;11768;71.23;2018
Kabupaten Madiun;70.97;13.13;7.57;11351;71.01;2018
Kabupaten Magetan;72.3;13.73;7.95;11539;72.91;2018
Kabupaten Ngawi;71.92;12.68;6.88;11187;69.91;2018
Kabupaten Bojonegoro;71.07;12.35;6.77;9926;67.85;2018
Kabupaten Tuban;71.01;12.19;6.52;10048;67.43;2018
